"ASIGNATURA","#ESTUDIANTE","#MUJERES","#HOMBRE","SEMESTRE","MODALIDAD","TIPOESTRATEGIA","ESTRATEGIA","COMPETENCIA_EVALUAR","TIPOHERRAMIENTA","HERRAMIENTA","TIPOLICENCIA","FUNCIONES","INTERACCION","DISENO","USABILIDAD","DOCUMENTACION","ACTUALIZACIONES","%APROVECHAMIENTO","%APROBACION","VALORACION"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Creacion de video","loom","Propietaria","Video","5","4","2","5","3","0.35","1.45","5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Creacion de video","movimaker","Libre","Video","3","1","2","4","5","2.9","3.6","1.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Creacion de video","camtasia studio","Hibrida","Video","2","1","4","3","5","2.85","0.05","1"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de video","imovie","Propietaria","Video","2","3","5","4","3","0.4","2","3.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Creacion de video","movimaker","Libre","Video","5","2","5","2","4","4.3","0.1","5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Comunicacion en linea y webconference","Skype","Hibrida","Video llamada","1","1","3","3","5","3.05","4.15","5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Comunicacion en linea y webconference","teams","Propietaria","Video llamada","1","4","5","2","1","2.55","4.2","1"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Comunicacion en linea y webconference","jiomeet","Libre","Video llamada","3","5","1","2","1","1.2","4.15","0.5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Comunicacion en linea y webconference","meet","Hibrida","Video llamada","2","2","3","1","1","2.5","3.1","1.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Comunicacion en linea y webconference","zoom","Propietaria","Video llamada","1","2","2","5","5","4.85","0.7","4"
